,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
527,Skoda,Octavia,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,135 kW,1 968 ccm,139 g/km,Euro 6,158 870 km,7/2019,,Metallic,,Used,Germany,,,,,,,,,,,,,18349
528,Jaguar,I-Pace,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,294 kW,,0 g/km,No emission class,0 km,1/2023,,Metallic,2226,New,,,,Lithium-ion (Li-ion),90 kWh,No,,13 h,45 min,,,,,92949
529,Toyota,Aygo,Silver,Other interior color,Other interior material,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,53 kW,998 ccm,93 g/km,Euro 6,68 874 km,5/2021,,Metallic,,,,,,,,,,,,,,,,11899
530,Audi,A4,Grey,Black interior,,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,140 kW,1 984 ccm,119 g/km,Euro 6,109 893 km,7/2017,,Metallic,,Used,,12/2024,,,,,,,,,,,,24199
531,Citroen,C4 Cactus,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,75 kW,1 499 ccm,97 g/km,No emission class,53 139 km,7/2020,,Metallic,,,,,,,,,,,,,,,,15899
532,Mercedes-Benz,ML 500,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,300 kW,4 663 ccm,273 g/km,Euro 5,44 241 km,6/2014,,Metallic,,,,,,,,,,,,,,,,41749
533,Volkswagen,Touran,Grey,Black interior,Cloth interior,MPV,4/5 doors,7,not published by the seller,Petrol,Manual,4x2,110 kW,1 498 ccm,149 g/km,Euro 6,35 609 km,6/2022,1,Metallic,,,,,,,,,,,,,,,,29949
534,Volkswagen,Golf,White,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,99 g/km,Euro 6d-TEMP,72 700 km,8/2020,1,Metallic,,,,,08/2025,,,,,,,,,,,24349
535,Toyota,Camry,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,160 kW,2 487 ccm,101 g/km,Euro 6,6 km,9/2023,,Metallic,,New,,,,,,,,,,,,,,43499
536,Ford,Kuga,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 995 ccm,0 g/km,Euro 6,19 446 km,10/2022,1,Metallic,,,,,10/2025,,,,,,,,,,,37349
537,BMW,118,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,1 499 ccm,130 g/km,Euro 6d,37 239 km,7/2020,1,,,,,,,,,,,,,,,,,22999
538,Mercedes-Benz,A 180,Grey,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,1 461 ccm,100 g/km,Euro 6d-TEMP,127 500 km,6/2019,1,Metallic,,,,,,,,,,,,,,,,21499
539,Audi,Q3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,119 g/km,Euro 6,20 000 km,3/2023,,,,,,,,,,,,,,,,,,54999
540,Hyundai,i30,White,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,118 kW,1 482 ccm,108 g/km,Euro 6d,39 990 km,4/2022,,,1412,Used,,,,,,,,,,,,,,25249
541,Volkswagen,Polo,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,109 g/km,Euro 6d,3 000 km,6/2022,,,1172,Used,,,,,,,,,,,,,,23599
542,Porsche,Macan,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,195 kW,1 984 ccm,232 g/km,Euro 6d,0 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,93349
543,Mercedes-Benz,C 200,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,135 kW,1 497 ccm,142 g/km,Euro 6d-TEMP,84 280 km,9/2018,,,,,,,,,,,,,,,,,,26299
544,BMW,320,White,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,1 995 ccm,122 g/km,Euro 6,25 900 km,10/2022,1,,,,,,,,,No,Mild hybrid,,,,,,,41549
545,Seat,Ateca,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 499 ccm,129 g/km,No emission class,10 km,9/2023,1,Metallic,,,,,,,,,,,,,,,,37049
546,BMW,X4,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,2 993 ccm,161 g/km,Euro 6,19 311 km,7/2023,,Metallic,,Used,,12/2025,,,,,,,,,,,,83499
547,Renault,Clio,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,55 kW,898 ccm,113 g/km,Euro 6,63 463 km,2/2019,,,,Used,,12/2024,,,,,,,,,,,,12699
548,Volkswagen,Touareg,Blue,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,2 967 ccm,184 g/km,Euro 6d-TEMP,43 266 km,2/2019,2,Metallic,,,,,,,,,,,,,,,,47899
549,Jeep,Renegade,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,111 kW,1 332 ccm,146 g/km,Euro 6,69 000 km,1/2021,,,,,,,,,,,,,,,,,,22049
550,Kia,Venga,White,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,1 591 ccm,155 g/km,No emission class,63 900 km,10/2015,2,,,,,,,,,,,,,,,,,11799
551,Opel,Corsa,,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,55 kW,1 199 ccm,93 g/km,Euro 6,51 100 km,4/2022,1,,,,,,,,,,,,,,,,,15649
552,BMW,218 Active Tourer,Black,,,MPV,4/5 doors,,not published by the seller,Petrol,Manual,4x2,100 kW,1 499 ccm,119 g/km,,131 000 km,1/2017,,,,,,,,,,,,,,,,,,12749
553,BMW,X4,Brown,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,190 kW,2 993 ccm,156 g/km,Euro 6,72 447 km,8/2014,1,Metallic,,,,,08/2025,,,,,,,,,,,29299
554,Renault,Megane,Grey,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 333 ccm,133 g/km,Euro 6,13 311 km,4/2021,1,,,Used,,12/2024,,,,,,,,,,,,24199
555,Volvo,XC40,Black,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,193 kW,1 477 ccm,147 g/km,Euro 6,109 268 km,6/2021,1,,,Used,,06/2024,,Lithium-ion (Li-ion),11 kWh,No,Full hybrid,3 h,,43 km,,,,28349
556,Mercedes-Benz,C 180,Grey,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,125 kW,1 496 ccm,141 g/km,Euro 6d,7 957 km,3/2022,,Metallic,1625,Used,Germany,,,,,No,Mild hybrid,,,,,,,38249
557,Ford,Transit,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,96 kW,1 995 ccm,179 g/km,Euro 6d-TEMP,54 650 km,9/2021,1,,,,,,,,,,,,,,,,,32049
558,Honda,Jazz,Red,,,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,90 kW,1 498 ccm,89 g/km,Euro 6,1 300 km,7/2023,,Metallic,,Used,,,,,,No,,,,,Petrol,,,29399
559,Audi,Q3,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,169 kW,1 984 ccm,168 g/km,Euro 6d-TEMP,51 512 km,7/2020,,Metallic,,Used,Germany,,,,,,,,,,,,,45799
560,Corvette,C8,Blue,Grey interior,Full leather interior,Coupe,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,354 kW,6 162 ccm,277 g/km,Euro 6d,23 km,6/2023,,,,New,,,,,,,,,,,,,,115999
561,Renault,Captur,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 332 ccm,137 g/km,Euro 6d,680 km,5/2023,1,Metallic,,Used,,,,,,No,Mild hybrid,,,,,,,26099
562,Mercedes-Benz,C 300,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,230 kW,1 999 ccm,13 g/km,Euro 6d-TEMP,29 270 km,7/2022,1,Metallic,,,,,,,,,,,,,,,,45699
563,Mercedes-Benz,GLE 350,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Manual,4x4,235 kW,1 950 ccm,29 g/km,Euro 6,33 216 km,5/2020,,,,,,,,,,,,,,,,,,72899
564,Mercedes-Benz,B 180,White,Black interior,Part leather interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,100 kW,1 332 ccm,145 g/km,Euro 6d,11 630 km,3/2022,1,,,,,,,,,,,,,,,,,28249
565,Mercedes-Benz,A 220,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,140 kW,1 991 ccm,143 g/km,Euro 6,41 260 km,2/2019,2,Metallic,,,,,04/2024,,,,,,,,,,,28399
566,Volvo,V60,White,,,Station Wagon,4/5 doors,,not published by the seller,Diesel,Automatic,4x2,110 kW,1 969 ccm,123 g/km,Euro 6,102 500 km,1/2020,,,,,,,,,,,,,,,,,,23149
567,Mercedes-Benz,AMG GT S,Blue,Other interior color,Full leather interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,384 kW,4 000 ccm,0 g/km,Euro 6,43 700 km,7/2019,,Metallic,,,,,03/2024,,,,,,,,,,,137749
568,Nissan,Qashqai,Grey,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Manual,4x2,103 kW,1 332 ccm,121 g/km,Euro 6,7 000 km,7/2022,,Metallic,,,,,,,,,,,,,,,,27099
569,Peugeot,2008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,1 499 ccm,131 g/km,Euro 6,20 km,9/2023,1,Metallic,,Used,,12/2025,,,,,,,,,,,,35649
570,Kia,e-Niro,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,Euro 6d,10 km,8/2023,1,Metallic,,,,,08/2026,,64 kWh,No,,,,,,,,39149
571,Renault,Clio,White,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,53 kW,999 ccm,112 g/km,Euro 6,22 176 km,8/2020,1,,,Used,,12/2024,,,,,,,,,,,,13099
572,Ford,Fiesta,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,998 ccm,98 g/km,Euro 6d,10 km,11/2023,,Metallic,1164,,Germany,,,,,No,Mild hybrid,,,,,,,26449
573,Lancia,Ypsilon,White,Other interior color,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,1 242 ccm,115 g/km,Euro 6d,47 000 km,11/2013,2,,,,,,,,,,,,,,,,,8399
574,Peugeot,208,Black,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,55 kW,1 560 ccm,90 g/km,Euro 6,88 173 km,6/2018,,,,Used,,12/2024,,,,,,,,,,,,12249
575,Ford,Puma,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,999 ccm,97 g/km,Euro 6d-TEMP,48 293 km,2/2021,,Metallic,1280,Used,,,,,,,,,,,,,,19549
576,Hyundai,Tucson,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,169 kW,1 598 ccm,124 g/km,Euro 6,44 726 km,6/2021,1,Metallic,,Used,,07/2026,,,14 kWh,No,Full hybrid,,,,,,,33499
577,Hyundai,Tucson,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 598 ccm,125 g/km,Euro 6d-TEMP,10 km,9/2023,,,,New,,,,,,No,Mild hybrid,,,,,,,34199
578,Peugeot,2008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,60 kW,1 199 ccm,114 g/km,Euro 6d-TEMP,7 900 km,4/2019,2,,,,,,,,,,,,,,,,,18349
579,Opel,Insignia,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,128 kW,1 956 ccm,114 g/km,Euro 6d,12 798 km,10/2022,1,Metallic,,,,,,,,,,,,,,,,33149
580,Renault,Twingo,White,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,54 kW,998 ccm,102 g/km,Euro 6d-TEMP,48 400 km,12/2020,1,,,,,,,,,,,,,,,,,12849
581,Peugeot,3008,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,1 499 ccm,101 g/km,Euro 6,91 434 km,12/2019,1,,,Used,,12/2024,,,,,,,,,,,,21599
582,Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 395 ccm,140 g/km,Euro 6,55 699 km,12/2017,1,,,,,,12/2024,,,,,,,,,,,26999
583,Chevrolet,Cruze,White,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,1 364 ccm,132 g/km,Euro 5,93 333 km,10/2013,1,,,,,,12/2024,,,,,,,,,,,9899
584,Citroen,Jumper,White,,,Cargo VAN,2/3 doors,3,not published by the seller,Diesel,Manual,4x2,96 kW,1 997 ccm,173 g/km,Euro 6,44 500 km,5/2019,1,,,Used,,12/2024,,,,,,,,,,,,29949
585,Seat,Ateca,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,123 g/km,No emission class,16 047 km,2/2020,,Metallic,,,,,,,,,,,,,,,,28299
586,Volkswagen,Passat,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,1 968 ccm,116 g/km,Euro 6d-TEMP,1 200 km,7/2023,,,,Demonstration car,Germany,,,,,,,,,,,,,42599
587,Ford,Kuga,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,112 kW,2 488 ccm,118 g/km,Euro 6,42 495 km,2/2021,1,Metallic,,,,,,Lithium-ion (Li-ion),,No,,,,,,,,30999
588,Seat,Ibiza,Blue,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,59 kW,999 ccm,112 g/km,Euro 6d-TEMP,80 700 km,7/2019,,,,,,,09/2024,,,,,,,,,,,12649
589,Cupra,Formentor,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,228 kW,1 984 ccm,175 g/km,Euro 6d,11 217 km,6/2022,1,,,,,,,,,,,,,,,,,41149
590,Mazda,CX-30,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,137 kW,1 998 ccm,116 g/km,Euro 6d,9 990 km,11/2021,1,Metallic,,,,,11/2024,,,,,,,,,,,28899
591,Volkswagen,Golf,White,Black interior,Cloth interior,Cabriolet,2/3 doors,5,not published by the seller,Petrol,Manual,4x2,77 kW,1 197 ccm,136 g/km,Euro 5,71 469 km,4/2013,2,,,,,,,,,,,,,,,,,13849
592,DS Automobiles,DS7 Crossback,,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,1 499 ccm,105 g/km,Euro 6,49 255 km,4/2021,,,,Used,,12/2024,,,,,,,,,,,,32549
593,Jaguar,F-Pace,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,405 kW,5 000 ccm,272 g/km,Euro 6d,10 km,8/2023,,,2133,New,Germany,,,,,,,,,,,,,146399
594,Audi,A1,Black,,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,120 g/km,Euro 6,20 911 km,12/2022,,Metallic,,Used,,12/2025,,,,,,,,,,,,31999
595,BMW,220 Gran Coupé,White,Black interior,Cloth interior,Coupe,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,131 kW,1 998 ccm,153 g/km,Euro 6d,0 km,9/2023,,,,New,,,,,,,,,,,,,,52149
596,Hyundai,Tucson,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,132 kW,1 598 ccm,129 g/km,Euro 6d,22 600 km,9/2021,1,Metallic,,,,,,Lithium polymer (Li-pol),,No,Plug-in hybrid,2 h,,,,,,42549
597,Ford,Fiesta,Blue,Other interior color,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,92 kW,999 ccm,104 g/km,Euro 6d,10 km,11/2023,1,Metallic,,,,,11/2026,,,No,Mild hybrid,,,,,,,27399
598,Peugeot,208,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,97 g/km,Euro 6,40 826 km,10/2020,1,,,Used,,12/2024,,,,,,,,,,,,15899
599,Volvo,XC40,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 969 ccm,133 g/km,Euro 6d-TEMP,66 374 km,8/2020,,Metallic,1823,Used,,,,,,,,,,,,,,35249
600,Ford,Mondeo,Black,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,1 499 ccm,134 g/km,No emission class,99 718 km,4/2018,,,,Used,,,,,,,,,,,,,,16099
601,Audi,S6,Blue,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,257 kW,2 967 ccm,171 g/km,Euro 6d-TEMP,61 000 km,7/2019,2,Metallic,,,,,,,,,,,,,,,,54149
602,Mercedes-Benz,A 250,White,,,Hatchback,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,165 kW,1 991 ccm,141 g/km,Euro 6,62 170 km,1/2019,,,,,,,,,,,,,,,,,,27749
603,Audi,S3,Red,Black interior,Cloth interior,Sedans / saloons,4/5 doors,,not published by the seller,Petrol,Automatic,4x4,228 kW,1 984 ccm,165 g/km,Euro 6,21 400 km,12/2020,1,Metallic,,,,,,,,,,,,,,,,43649
604,Audi,A1,White,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,999 ccm,112 g/km,Euro 6d,21 791 km,8/2021,2,Metallic,,,,,,,,,,,,,,,,29999
605,Opel,Corsa,Red,Black interior,Cloth interior,Hatchback,,,not published by the seller,Petrol,Manual,4x2,74 kW,1 197 ccm,98 g/km,No emission class,13 486 km,3/2023,,,,Used,,,,,,,,,,,,,,16549
606,Volkswagen,Golf,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 498 ccm,109 g/km,Euro 6d,10 187 km,6/2022,1,Metallic,,,,,,,,,,,,,,,,31449
607,Volvo,XC90,Grey,,,SUV / offroad,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x4,299 kW,1 969 ccm,149 g/km,Euro 6,61 417 km,12/2018,,Metallic,,Used,,12/2024,,Lithium-ion (Li-ion),11 kWh,No,Full hybrid,3 h,,40 km,,18 l/100km,,62149
608,BMW,X7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,195 kW,2 993 ccm,171 g/km,Euro 6d-TEMP,50 000 km,5/2019,1,Metallic,,,,,,,,,,,,,,,,77449
609,Opel,Mokka,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,Euro 6d,3 km,7/2023,,Metallic,1598,,Germany,,,,,,,,,,,,,28999
610,Opel,Mokka,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 199 ccm,102 g/km,Euro 6d,16 581 km,12/2022,1,,,,,,,,,,,,,,,,,25749
611,Mazda,CX-5,Grey,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,143 kW,2 488 ccm,169 g/km,Euro 6d,53 690 km,3/2021,1,Metallic,,,,,03/2024,,,,,,,,,,,32599
612,BMW,320,Blue,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,135 kW,1 998 ccm,0 g/km,Euro 6d-TEMP,6 400 km,11/2019,1,Metallic,,,,,02/2025,,,,,,,,,,,32049
613,Peugeot,2008,Orange,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,54 200 km,9/2020,,Metallic,1623,Used,,,,,,,,,,,,,,27149
614,Mercedes-Benz,S 580,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,375 kW,2 999 ccm,18 g/km,Euro 6d,12 500 km,9/2022,1,Metallic,,Demonstration car,,,,,28 kWh,No,,,,,,,,158899
615,Fiat,500C,Red,,,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,999 ccm,88 g/km,Euro 6,16 800 km,9/2020,,,,Used,,12/2024,,,,,,,,,,,,14899
616,Volkswagen,Touran,Grey,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 598 ccm,118 g/km,Euro 6c,73 279 km,10/2019,1,,,,,,12/2024,,,,,,,,,,,20349
617,Mazda,MX-30,White,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,107 kW,,0 g/km,Euro 6,20 377 km,9/2020,,,1645,Used,,,,Lithium-ion (Li-ion),,No,,,,,,,,22049
618,Volvo,S90,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,288 kW,1 969 ccm,142 g/km,Euro 6d,21 817 km,4/2022,1,Metallic,,,,,,,,,,,,,,,,56349
619,Mazda,CX-30,Red,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 998 ccm,126 g/km,Euro 6d,41 190 km,9/2021,1,Metallic,,,,,09/2024,,,No,Mild hybrid,,,,,,,27499
620,Peugeot,2008,Red,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 199 ccm,118 g/km,Euro 6d-TEMP,28 925 km,10/2018,,Metallic,,,,,,,,,,,,,,,,15849
621,BMW,i3,Blue,Grey interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Electric,Automatic,4x2,125 kW,647 ccm,0 g/km,Euro 6d-TEMP,23 600 km,2/2020,1,,,,,,,Lithium-ion (Li-ion),,No,,3 h,39 min,,,,,30699
622,BMW,X5,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,195 kW,2 993 ccm,158 g/km,Euro 6d,78 900 km,10/2019,1,,,,,,12/2025,,,,,,,,,,,60299
623,Skoda,Fabia,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,0 g/km,Euro 6d-TEMP,500 km,7/2023,,Metallic,1226,,,,,,,,,,,,,,,27149
624,Mercedes-Benz,A 200,Silver,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 950 ccm,126 g/km,Euro 6,35 192 km,5/2022,1,Metallic,,Used,,12/2024,,,,,,,,,,,,34499
625,BMW,X5,Black,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,190 kW,2 993 ccm,183 g/km,Euro 6,57 817 km,3/2018,2,Metallic,,,,,,,,,,,,,,,,47099
626,Volkswagen,Golf,White,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,85 kW,999 ccm,109 g/km,Euro 6d-TEMP,32 405 km,4/2019,,,1165,Used,,,,,,,,,,,,,,25249
627,Bentley,Continental GTC,Green,Beige interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,404 kW,3 996 ccm,284 g/km,Euro 6,1 500 km,11/2023,1,Metallic,,Demonstration car,,,,,,,,,,,,,,338649
